1,NAUCALPAN ,2633 / 2655,55 91 40 26 00
2,GUADALAJARA 1 (WASHINTON),4108 / 4109,33 38 10 68 82
6,GUADALAJARA 2 (JUAREZ),4115,33 36 13 37 79
9,MORELIA,4123,44 33 13 22 25
14,CEDA,4133,55 56 94 11 29
16,ACAPULCO,4112,74 44 80 10 96
17,CUERNAVACA (MATAMOROS),4137,77 73 10 24 82
19,SAN LUIS POTOSI 2 (ZARAGOZA),4127,44 48 14 78 27
20,IZAZAGA,4143,55 57 09 37 68 
23,CULIACAN (MIGUEL HIDALGO),4141,66 77 12 75 81
24,TAMPICO (FCO I MADERO),4147,83 32 14 11 11
25,PLAZA ARAGON,4151,55 24 59 02 11
27,HERMOSILLO,4152,66 22 12 37 45
32,ZACATECAS,4155,49 29 22 16 80
35,MEXIPUERTO,4174,55 24 59 20 41
37,NICOLAS ROMERO,4177,55 21 68 17 60
39,LOS REYES LA PAZ,4178,55 58 55 80 76
42,CHAPULTEPEC,4180,55 21 11 70 38
46,TEHUACAN,4184,23 83 92 21 38
48,CANCUN MALL,4186,99 81 32 78 67
49,CANCUN AMERICAS,4187,99 88 84 47 80
55,SAN LUIS POTOSI 2 (ZARAGOZA),4197,44 48 14 92 59
56,XOCHIMILCO,4196,55 56 75 08 41
57,NORMAL,4199,55 55 92 57 81
59,CHETUMAL,4198,98 32 08 89 65
61,ACAPULCO 2 (IMSS),4208,74 46 88 43 82
62,4 CAMINOS (TOREO),4202,55 21 24 39 81
63,PUEBLA (PLAZA DORADA),4206,22 22 11 13 03
66,PATIO TEXCOCO,4212,59 59 55 04 63
74,PLAZA LAS HACIENDAS,4215,55 58 19 83 67
75,PATIO AYOTLA,4217,55 59 74 87 33
76,GRAN PATIO ECATEPEC,4111,55 29 56 11 65
77,PUEBLA BOULEVARD NORTE,4219,22 22 31 97 64
83,XOCHIMILCO 2 (GPE RODRIGUEZ),4142,55 53 34 97 58
84,PLAZA CENTRAL (IZTAPALAPA),4221,55 91 29 11 84
89,PUEBLA 3 (11 NTE CENTRO),4224,22 22 46 16 48
93,MAZATLAN,4227,66 99 82 27 26
97,CULIACAN 2 (DOMINGO RUBI),4145,66 77 12 10 30
99,BALDERAS,4233,55 52 66 54 08
101,TEPIC,4118,31 12 58 03 12
102,CANAL DE SAN JUAN,4190,55 15 45 54 66
103,ERMITA 2 (METRO ERMITA),4234,55 43 17 55 11
104,PEMEX,4124,55 51 29 77 30
105,AYUNTAMIENTO,4235,55 59 41 35 42
106,EL SALADO,4236,55 59 41 42 68
109,EJE CENTRAL,4238,55 22 90 03 33
110,INSURGENTES,4239,55 50 35 32 32
112,PLAYA DEL CARMEN,4231,98 46 88 56 00
113,AGUASCALIENTES PARIAN,4216,44 91 53 78 54
118,TUXTEPEC,4119,28 75 98 13 92
120,MACRO PLAZA OAXACA,4128,95 15 24 76 63
121,PLAZA DEL SOL,4136,33 38 01 98 57
124,TLAQUEPAQUE,4158,33 10 01 07 40
125,PLAZA COAPA,4159,55 21 55 39 96
127,PESTALOZZI,4161,55 56 04 47 26
128,SLP (EL DORADO),4163,44 41 00 65 99
129,MUNDO E,4162,55 90 66 54 36
130,GT LEON,4169,47 77 76 61 23
131,AGUASCALIENTES VILLA ASUNCIÓN,4170,44 97 10 73 71
132,PATIO ACAPULCO,4167,74 46 88 92 04
133,PATIO PACHUCA,4240,77 14 89 60 66
134,ACAPULCO PALMAS,4181,74 44 04 74 14
135,SANT FE,4165,55 91 27 88 97
136,MORELIA 2 (ESTADIO),4194,44 31 47 39 22
138,CHILPANCINGO,4171,74 76 88 58 22
141,ALAMEDAS (ATIZAPÁN),4166,55 52 06 14 42
142,TULUM,4319,98 41 10 73 34
143,LOS MOCHIS,4322,66 88 19 83 93 
144,IRAPUATO,4321,61 43 50 1813
145,PLAZA BELLA OAX.,4323,95 15 12 46 42
146,SENDERO OBREGON ,4335,64 41 20 20 83
147,GRAN TERRAZA OBLATOS,4339,33 31 69 45 69
148,TOREO 2 (PARQUE CENTRAL),4352,55 91 55 55 62
149,SAN ESTEBAN,4353,55 53 59 93 96
151,CENTRO MAYA,4354,98 48 58 33 88
152,PARQUE PUEBLA,4357,22 22 27 47 29
1001,PS VIADUCTO,4157,55 54 40 12 82
1002,PS PORTALES,4185,55 55 32 64 95
1003,PS LA VIGA,4201,55 91 54 77 51
1004,PS METRO MOCTEZUMA,4195,55 51 60 51 33
1005,PS SAN ANTONIO ABAD,4122,55 91 55 42 65
1006,PS GALERIAS CAMPECHE,4172,98 18 15 65 25
1007,PS TLALNEPANTLA,4191,55 21 24 26 21
1008,PS MERCED,4120,55 55 52 15 15
1009,PS EUGENIA,4150,55 55 36 98 21
1010,PS PATRIOTISMO,4154,55 52 71 41 33
1011,PS TACUBAYA,4176,55 52 71 52 14
1012,PS LA JOYA,4188,55 54 85 23 66
1013,PS MIXCOAC,4211,55 84 35 01 72
1014,PS CONDESA,4182,55 52 64 38 47
1015,PS CD JUAREZ,4312,65 66 94 00 08
1016,PS IZCALLI (SAN MIGUEL),4310,55 21 21 21 55
1017,PS GRAN SUR ,4313,55 50 38 76 86
1018,PS TUXTLA AMERICAS,4315,96 16 88 51 40
1019,PS PERINORTE,4314,55 91 55 04 76
1020,PS TOLUCA (CENTRO),4131,72 21 67 03 06
1021,PS CETRAM ROSARIO,4173,55 53 18 04 26
1022,PS TOLUCA 2 (TERMINAL),4200,72 22 12 22 76
1023,PS TOLUCA 3 (PLAZA MUJER),4113,72 26 88 97 22
1024,PS ERMITA (METRO UAMI),4228,55 22 91 07 75
1025,PS POLANCO,4140,55 59 10 48 44
1026,PS PLAZA LINDAVISTA ,4317,55 59 10 07 38
1027,PS PLAZA CHIMALHUACAN,4316,55 91 31 33 18
1028,PS TUXTLA GUTIERREZ,4144,96 16 00 11 68
1029,PS MONTERREY 1 (J M MORELOS),4139,81 83 42 39 35
1030,PS QUERETARO (JUAREZ),4125,44 22 14 58 32
1031,PS MERIDA (CALLE 56) ,4121,99 99 23 36 05
1032,PS CHIHUAHUA,4117,61 44 10 57 95
1033,PS VILLA HERMOSA (FCO I MADERO),4146,99 31 31 35 22
1034,PS MONTERREY 2 (CUAHUTEMOC),4148,81 83 72 25 41
1035,PS MERIDA 2 ( CALLE 65),4175,99 99 23 27 46
1036,PS VILLA HERMOSA ( PLAZA AMERICAS),4193,99 33 57 00 64
1037,PS QUERETARO 2 (PATIO),4209,44 22 20 13 55
1038,PS MONTERREY 3 (PATIO LINCOLN),4210,81 11 67 50 44
1039,PS MERIDA 3 (PATIO),4214,99 91 88 16 00
1040,PS CARDENAS,4153,93 73 22 54 17
1041,PS MERIDA 4 (BH CENTER),4205,99 94 06 91 84
1042,PS QUERETARO 3 (PLAZA DE LA MUJER),4179,44 22 41 61 48
1043,PS TAPACHULA,4230,96 21 18 08 34
1044,PS APODACA,4237,81 13 06 23 39
1045,PS MERIDA AMERICAS,4164,99 92 37 86 72
1046,PS MAGNOCENTRO INTERLOMAS,4204, 55 96 88 59 87
1047,PS PLAZA CACHANILLA MEXICALI,4318,68 61 04 09 45
1048,PS TIJUANA INSURGENTES,4320,66 46 83 86 79
1049,PS CITADEL MONTERREY ,4324,81 13 57 47 02 
1050,PS PT VALLE DE CHALCO ,4338,55 51 60 79 63
1051,BARRANCA DEL MUERTO ,4340,55 56 60 37 50
1052,PARQUE LAS ANTENAS ,4344,55 50 88 42 92
1053,PT ZARAGOZA CD JUAREZ,4343,65 62 04 78 63
1054,SENDERO SUR,4346,84 41 11 81 12
1055,PORTAL LOMAS ESTRELLA,4345,55 56 32 51 47
1056,SAN AGUSTIN MTY,4349,81 10 86 98 49
1057,PARQUE TEZONTLE,4351,55 94 39 82 15
1058,PLAZA TEPEYAC,4347,55 55 37 38 95
1059,FITSI MUSEO,4348,55 93 78 04 10
1060,PORTAL CENTENARIO,4355,55 54 23 22 31
1061,FASHION MALL,4356,55 28 39 45 38
1062,VERACRUZ,4135,22 99 32 52 46
1063,PLAZA SENDERO TOLUCA,4183,72 23 17 32 80
1064,COACALCO (LAS FLORES),4192,55 58 01 01 43
1065,PLAZA COACALCO,4116,55 26 00 23 87
1066,TUXPAN,4220,78 38 35 42 37
1067,TULTITLAN (PLAZA JARDINES),4114,55 10 39 57 83
1068,CORDOBA VERACRUZ,4149,27 11 17 03 20
1069,CUAUTITLAN IZCALLI (PLAZA FIESTA),4222,55 11 13 03 05
1070,XALAPA,4223,22 86 88 89 78
1071,HUIPULCO,4225,55 56 55 06 38
1072,ORIZABA,4226,27 27 21 47 83
1073,POZA RICA,4126,78 21 19 36 35
1074,MINATITLAN,4189,92 21 17 12 77
1075,COATZACOALCOS,4213,92 13 22 06 59
1076,BOCA DEL RIO AMERICAS,4138,22 91 65 37 10
1077,ENCUENTRO FORTUNA,4156,55 91 30 62 90
1078,XALAPA PLAZA CRYSTAL,4160,22 88 11 72 02
1079,MULTIPLAZA SANTÍN,4168,72 22 38 88 23
1080,FORUM COATZACOALCOS,4350,91 12 19 13 78
1081,MOCAMBO,4358,22 96 88  38 46
